Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-11 00:00:00+05:30,408.8088808643176,413.8353931341722,406.37123878312207,407.1648864746094,5038552,0.0,0.0
2016-08-12 00:00:00+05:30,406.2956816520147,407.7129261866816,400.6077884658466,401.571533203125,7449928,0.0,0.0
2016-08-16 00:00:00+05:30,393.8050380056697,399.87086342673746,388.5139914297778,397.5087890625,16429408,0.0,0.0
2016-08-17 00:00:00+05:30,396.8095886923741,397.830032525412,389.4588315291548,390.5170593261719,6599316,0.0,0.0
2016-08-18 00:00:00+05:30,391.7263804119497,392.7089940399659,386.0574024030937,386.7754821777344,8434000,0.0,0.0
2016-08-19 00:00:00+05:30,389.2697926053693,392.6711791426978,384.9046844958902,385.9817810058594,5686016,0.0,0.0
2016-08-22 00:00:00+05:30,384.7346261522343,389.2698083858559,381.3710234354464,383.7709045410156,10253518,0.0,0.0
2016-08-23 00:00:00+05:30,385.52831369452633,393.8050313538644,385.52831369452633,392.9169006347656,7406138,0.0,0.0
2016-08-24 00:00:00+05:30,395.6946822876027,401.38257559176486,395.6946822876027,399.62518310546875,6129966,0.0,0.0
2016-08-25 00:00:00+05:30,398.71812273146736,399.70073636632293,390.06347368418795,391.5941162109375,4796562,0.0,0.0
2016-08-26 00:00:00+05:30,391.53744941305746,395.316768422836,384.3756352761006,385.58502197265625,6881054,0.0,0.0
2016-08-29 00:00:00+05:30,384.5833950227549,389.2697586252887,382.08905433996784,386.54864501953125,5220282,0.0,0.0
2016-08-30 00:00:00+05:30,390.1957616919059,394.9388253689418,387.38018756283765,393.2003479003906,4375438,0.0,0.0
2016-08-31 00:00:00+05:30,391.95318883039175,395.2223091971501,388.4384496206504,391.48077392578125,11139814,0.0,0.0
2016-09-01 00:00:00+05:30,392.293280868181,393.21919549552365,390.0256896492898,392.12322998046875,2877826,0.0,0.0
2016-09-02 00:00:00+05:30,392.69016203878897,393.04917889272514,387.8337001806347,389.9690246582031,3332592,0.0,0.0
2016-09-06 00:00:00+05:30,392.387802401456,396.41278643743556,391.3862736211582,394.9388427734375,8215044,0.0,0.0
2016-09-07 00:00:00+05:30,396.07258457133565,400.22983498191263,394.56085714930765,398.4724426269531,7425470,0.0,0.0
2016-09-08 00:00:00+05:30,394.9388929370506,394.9388929370506,387.0023218828132,392.1611022949219,9092774,0.0,0.0
2016-09-09 00:00:00+05:30,391.9154086331709,393.4271363424599,387.9660384463608,391.3485107421875,5053438,0.0,0.0
2016-09-12 00:00:00+05:30,387.4746681806937,399.8519375129714,387.4746681806937,398.3402099609375,6203096,0.0,0.0
2016-09-14 00:00:00+05:30,398.3212797794512,399.7763544004123,393.29481354046663,395.1655578613281,5152418,0.0,0.0
2016-09-15 00:00:00+05:30,395.1656541799965,395.61920021948185,391.2918515308762,393.88067626953125,4701722,0.0,0.0
